date,symbol,reportedCurrency,cik,fillingDate,acceptedDate,calendarYear,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,totalAssets,totalEquity,sector,industry,exchangeShortName,ipoDate
1995-03-31,HES,USD,0000004447,1995-05-12,1995-05-12 00:00:00,1995,Q1,1892200000,1428600000,463600000,0.2450058133,0,154500000,0,154500000,207800000,362300000,1790900000,0,0,218100000,319400000,0.1687982243,101300000,0.0535355671,10900000,112200000,0.0592960575,87000000,25200000,0.0133178311,0.0899,0.0899,279261261,279261261,https://www.sec.gov/Archives/edgar/data/4447/000095012395001367/0000950123-95-001367-index.html,https://www.sec.gov/Archives/edgar/data/4447/,8196600000,3146800000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1995-06-30,HES,USD,0000004447,1995-08-14,1995-08-14 00:00:00,1995,Q2,1773300000,1345100000,428200000,0.2414707043,0,158800000,0,158800000,202200000,361000000,1706100000,0,0,211600000,278800000,0.1572210004,67200000,0.0378954492,-58300000,8900000,0.0050188913,49100000,-40200000,-0.0226695991,-0.14,-0.14,279264264,279264264,https://www.sec.gov/Archives/edgar/data/4447/000095012395002292/0000950123-95-002292-index.html,https://www.sec.gov/Archives/edgar/data/4447/,8146800000,3086800000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1995-09-30,HES,USD,0000004447,1995-11-14,1995-11-14 00:00:00,1995,Q3,1641900000,1283300000,358600000,0.2184055058,0,170600000,0,170600000,207900000,378500000,1661800000,0,0,218600000,198700000,0.1210183324,-19900000,-0.0121201048,-48300000,-68200000,-0.0415372434,36400000,-104600000,-0.0637066813,-0.37,-0.37,279300300,279300300,https://www.sec.gov/Archives/edgar/data/4447/000095012395003324/0000950123-95-003324-index.html,https://www.sec.gov/Archives/edgar/data/4447/,8252900000,2968300000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1995-12-31,HES,USD,0000004447,1996-03-27,1996-03-27 00:00:00,1995,Q4,1994900000,1461400000,533500000,0.2674319515,0,159900000,0,159900000,275200000,435100000,1896500000,0,0,244800000,373600000,0.1872775578,98400000,0.0493257807,-503900000,-405500000,-0.2032683343,-130700000,-274800000,-0.1377512657,-0.98,-0.98,279282282,279282282,https://www.sec.gov/Archives/edgar/data/4447/000095012396001358/0000950123-96-001358-index.html,https://www.sec.gov/Archives/edgar/data/4447/,7756400000,2660400000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1996-03-31,HES,USD,0000004447,1996-05-14,1996-05-14 00:00:00,1996,Q1,2214500000,1706600000,507900000,0.2293519982,0,150100000,0,150100000,201500000,351600000,2058200000,0,0,201500000,357800000,0.1615714608,156300000,0.0705802664,-34800000,121500000,0.0548656582,55500000,66000000,0.0298035674,0.24,0.24,279282282,279282282,https://www.sec.gov/Archives/edgar/data/4447/000095012396002312/0000950123-96-002312-index.html,https://www.sec.gov/Archives/edgar/data/4447/,7731300000,2700100000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1996-06-30,HES,USD,0000004447,1996-08-13,1996-08-13 00:00:00,1996,Q2,2094800000,1659000000,435800000,0.2080389536,0,151600000,0,151600000,183600000,335200000,1994200000,0,0,183600000,284200000,0.1356692763,100600000,0.0480236777,407100000,507700000,0.2423620393,131300000,376400000,0.1796830246,1.35,1.35,279675676,279675676,https://www.sec.gov/Archives/edgar/data/4447/000095012396004349/0000950123-96-004349-index.html,https://www.sec.gov/Archives/edgar/data/4447/,7036800000,3111400000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1996-09-30,HES,USD,0000004447,1996-11-14,1996-11-14 00:00:00,1996,Q3,1746600000,1349000000,397600000,0.2276422764,0,149800000,0,149800000,166700000,316500000,1665500000,0,0,166700000,247800000,0.1418756441,81100000,0.04643307,89600000,170700000,0.0977327379,72900000,97800000,0.0559945036,0.35,0.35,279756757,279756757,https://www.sec.gov/Archives/edgar/data/4447/000095012396006560/0000950123-96-006560-index.html,https://www.sec.gov/Archives/edgar/data/4447/,7304800000,3202600000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1996-12-31,HES,USD,0000004447,1997-03-26,1997-03-26 00:00:00,1996,Q4,2216200000,1634000000,582200000,0.2627019222,0,166900000,0,166900000,231400000,398300000,2032300000,0,0,231400000,415300000,0.1873928346,183900000,0.0829798755,30000000,213900000,0.0965165599,94100000,119800000,0.0540564931,0.43,0.43,278487794,279309309,https://www.sec.gov/Archives/edgar/data/4447/000095012397002524/0000950123-97-002524-index.html,https://www.sec.gov/Archives/edgar/data/4447/,7784500000,3383600000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1997-03-31,HES,USD,0000004447,1997-05-13,1997-05-13 00:00:00,1997,Q1,2396800000,1921100000,475700000,0.198472964,0,149100000,0,149100000,197500000,346600000,2267700000,0,0,197500000,326600000,0.13626502,129100000,0.0538634846,-14300000,114800000,0.0478971963,110200000,4600000,0.0019192256,0.0167,0.0167,279309309,279309309,https://www.sec.gov/Archives/edgar/data/4447/000095012397004221/0000950123-97-004221-index.html,https://www.sec.gov/Archives/edgar/data/4447/,7378900000,3319000000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1997-06-30,HES,USD,0000004447,1997-08-12,1997-08-12 00:00:00,1997,Q2,1834000000,1439700000,394300000,0.2149945474,0,158800000,0,158800000,170300000,329100000,1768800000,0,0,170300000,270700000,0.1476008724,65200000,0.0355507088,11000000,76200000,0.0415485278,34500000,41700000,0.0227371865,0.15,0.15,278278278,278278278,https://www.sec.gov/Archives/edgar/data/4447/000095012397006690/0000950123-97-006690-index.html,https://www.sec.gov/Archives/edgar/data/4447/,7347800000,3306000000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1997-09-30,HES,USD,0000004447,1997-11-13,1997-11-13 00:00:00,1997,Q3,1884600000,1489200000,395400000,0.2098057943,0,168200000,0,168200000,173200000,341400000,1830600000,0,0,173200000,245600000,0.1303194312,54000000,0.0286532951,-17000000,37000000,0.0196328133,14300000,22700000,0.0120449963,0.0833,0.0833,275570571,275570571,https://www.sec.gov/Archives/edgar/data/4447/000095012397009462/0000950123-97-009462-index.html,https://www.sec.gov/Archives/edgar/data/4447/,7637900000,3289900000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1997-12-31,HES,USD,0000004447,1998-03-30,1998-03-30 00:00:00,1997,Q4,2118300000,1824200000,294100000,0.1388377473,0,173800000,0,173800000,131700000,305500000,2129700000,0,0,131700000,120300000,0.0567908228,-11400000,-0.005381674,-89900000,-101300000,-0.0478213662,-39900000,-61400000,-0.0289855072,-0.23,-0.23,270507508,270507508,https://www.sec.gov/Archives/edgar/data/4447/000095012398003112/0000950123-98-003112-index.html,https://www.sec.gov/Archives/edgar/data/4447/,7934600000,3215700000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1998-03-31,HES,USD,0000004447,1998-05-14,1998-05-14 00:00:00,1998,Q1,1825800000,1515900000,309900000,0.1697338153,0,178500000,0,178500000,161800000,340300000,1856200000,0,0,161800000,133700000,0.073228174,-30400000,-0.0166502355,63400000,32900000,0.0180194983,45500000,-12600000,-0.0069010845,-0.0466,-0.0466,270270270,270270270,https://www.sec.gov/Archives/edgar/data/4447/000095012398005001/0000950123-98-005001-index.html,https://www.sec.gov/Archives/edgar/data/4447/,7676400000,3199100000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1998-06-30,HES,USD,0000004447,1998-08-13,1998-08-13 00:00:00,1998,Q2,1617300000,1291000000,326300000,0.2017560131,0,180800000,0,180800000,160000000,340800000,1631800000,0,0,160000000,148000000,0.0915105423,-14500000,-0.0089655599,-6600000,-20800000,-0.0128609411,900000,-21700000,-0.0134174241,-0.0799,-0.0799,271521522,271521522,https://www.sec.gov/Archives/edgar/data/4447/000095012398007479/0000950123-98-007479-index.html,https://www.sec.gov/Archives/edgar/data/4447/,7777900000,3131500000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1998-09-30,HES,USD,0000004447,1998-11-13,1998-11-13 00:00:00,1998,Q3,1530900000,1192900000,338000000,0.2207851591,0,164600000,0,164600000,158400000,323000000,1515900000,0,0,158400000,153600000,0.1003331374,15000000,0.0097981579,-18000000,-6800000,-0.0044418316,-500000,-6300000,-0.0041152263,-0.0233,-0.0233,270270270,270270270,https://www.sec.gov/Archives/edgar/data/4447/000095012398009851/0000950123-98-009851-index.html,https://www.sec.gov/Archives/edgar/data/4447/,8645200000,3106600000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1998-12-31,HES,USD,0000004447,1999-03-29,1999-03-29 00:00:00,1998,Q4,1616000000,1362200000,253800000,0.1570544554,0,229300000,0,229300000,176800000,406100000,1768300000,0,0,176800000,24500000,0.0151608911,-152300000,-0.0942450495,-367000000,-519300000,-0.3213490099,-101000000,-418300000,-0.2588490099,-1.58,-1.55,264045295,269873874,https://www.sec.gov/Archives/edgar/data/4447/000095012399002682/0000950123-99-002682-index.html,https://www.sec.gov/Archives/edgar/data/4447/,7883000000,2643400000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1999-03-31,HES,USD,0000004447,1999-05-14,1999-05-14 00:00:00,1999,Q1,1538700000,1234200000,304500000,0.1978943264,0,144000000,0,144000000,138300000,282300000,1516500000,0,0,138300000,160500000,0.1043088321,22200000,0.0144277637,72200000,94400000,0.0613504907,23900000,70600000,0.0458828882,0.26,0.26,269873874,269873874,https://www.sec.gov/Archives/edgar/data/4447/000095012399004715/0000950123-99-004715-index.html,https://www.sec.gov/Archives/edgar/data/4447/,7974300000,2693600000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1999-06-30,HES,USD,0000004447,1999-08-12,1999-08-12 00:00:00,1999,Q2,1430000000,1096000000,334000000,0.2335664336,0,149700000,0,149700000,136200000,285900000,1381900000,0,0,136200000,184700000,0.1291608392,48100000,0.0336363636,61900000,109900000,0.0768531469,32400000,77500000,0.0541958042,0.29,0.29,272365389,272365389,https://www.sec.gov/Archives/edgar/data/4447/000095012399007515/0000950123-99-007515-index.html,https://www.sec.gov/Archives/edgar/data/4447/000095012399007515/,8205800000,2768500000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1999-09-30,HES,USD,0000004447,1999-11-12,1999-11-12 00:00:00,1999,Q3,1801700000,1278000000,523700000,0.2906699229,0,178100000,0,178100000,159500000,337600000,1615600000,0,0,159500000,345600000,0.1918188378,186100000,0.103291336,133900000,320000000,0.177610035,161500000,158500000,0.0879724704,0.59,0.58,271864865,271864865,https://www.sec.gov/Archives/edgar/data/4447/000095012399010114/0000950123-99-010114-index.html,https://www.sec.gov/Archives/edgar/data/4447/000095012399010114/,7939000000,2926800000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
1999-12-31,HES,USD,0000004447,2000-03-27,2000-03-27 00:00:00,1999,Q4,2268800000,1597700000,671100000,0.295795134,0,147000000,0,147000000,214700000,361700000,1959400000,0,0,214700000,524100000,0.2310031735,309400000,0.1363716502,-131900000,177500000,0.0782351904,46500000,131100000,0.0577838505,0.48,0.48,263970666,271500000,https://www.sec.gov/Archives/edgar/data/4447/000095012300002763/0000950123-00-002763-index.html,https://www.sec.gov/Archives/edgar/data/4447/000095012300002763/,7727700000,3038200000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
2000-03-31,HES,USD,0000004447,2000-05-12,2000-05-12 00:00:00,2000,Q1,2831000000,2127000000,704000000,0.2486753797,0,157000000,0,157000000,174000000,331000000,2458000000,0,0,174000000,547000000,0.1932179442,373000000,0.1317555634,1000000,374000000,0.1321087955,150000000,224000000,0.0791239845,0.83,0.82,271500000,272064777,https://www.sec.gov/Archives/edgar/data/4447/000095012300004903/0000950123-00-004903-index.html,https://www.sec.gov/Archives/edgar/data/4447/000095012300004903/,8034000000,3250000000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
2000-06-30,HES,USD,0000004447,2000-08-10,2000-08-10 00:00:00,2000,Q2,2644000000,1987000000,657000000,0.2484871407,0,173000000,0,173000000,167000000,340000000,2327000000,0,0,167000000,484000000,0.1830559758,317000000,0.1198940998,31000000,348000000,0.1316187595,146000000,202000000,0.0763993949,0.75,0.75,271500000,271500000,https://www.sec.gov/Archives/edgar/data/4447/000095012300007390/0000950123-00-007390-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012300007390/e10-q.txt,8880000000,3408000000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
2000-09-30,HES,USD,0000004447,2000-11-03,2000-11-03 00:00:00,2000,Q3,2833000000,2032000000,801000000,0.2827391458,0,207000000,0,207000000,176000000,383000000,2415000000,0,0,175000000,594000000,0.2096717261,418000000,0.1475467702,12000000,430000000,0.1517825627,173000000,257000000,0.0907165549,0.96,0.95,269400000,269580420,https://www.sec.gov/Archives/edgar/data/4447/000095012300010045/0000950123-00-010045-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012300010045/y42041e10-q.txt,9069000000,3543000000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
2000-12-31,HES,USD,0000004447,2001-03-28,2001-03-28 00:00:00,2000,Q4,3685000000,2816000000,869000000,0.2358208955,0,229000000,0,229000000,198000000,427000000,3243000000,0,0,198000000,640000000,0.1736770692,442000000,0.1199457259,78000000,520000000,0.1411126187,180000000,340000000,0.092265943,1.27,1.27,256956000,266700000,https://www.sec.gov/Archives/edgar/data/4447/000095012301002755/0000950123-01-002755-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012301002755/y45625ke10-k.txt,10274000000,3883000000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
2001-03-31,HES,USD,0000004447,2001-05-11,2001-05-11 00:00:00,2001,Q1,4229000000,3226000000,1003000000,0.2371719083,0,218000000,0,218000000,181000000,399000000,3625000000,0,0,181000000,785000000,0.1856230787,604000000,0.1428233625,-40000000,564000000,0.1333648617,227000000,337000000,0.0796878695,1.28,1.26,266700000,266754617,https://www.sec.gov/Archives/edgar/data/4447/000095012301502208/0000950123-01-502208-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012301502208/y48811e10-q.txt,10246000000,4286000000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
2001-06-30,HES,USD,0000004447,2001-08-07,2001-08-07 00:00:00,2001,Q2,3565000000,2536000000,1029000000,0.2886395512,0,210000000,0,210000000,229000000,439000000,2975000000,0,0,229000000,819000000,0.2297335203,590000000,0.1654978962,-41000000,549000000,0.153997195,192000000,357000000,0.1001402525,1.34,1.33,265486486,269195195,https://www.sec.gov/Archives/edgar/data/4447/000095012301505114/0000950123-01-505114-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012301505114/y52077e10-q.txt,10864000000,4621000000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
2001-09-30,HES,USD,0000004447,2001-11-09,2001-11-09 00:00:00,2001,Q3,2934000000,2173000000,761000000,0.2593728698,0,232000000,0,232000000,254000000,486000000,2659000000,0,0,254000000,529000000,0.1802999318,275000000,0.093728698,-51000000,224000000,0.0763462849,57000000,167000000,0.0569188821,0.63,0.62,264663664,268471471,https://www.sec.gov/Archives/edgar/data/4447/000095012301508128/0000950123-01-508128-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012301508128/y54525e10-q.txt,15291000000,4820000000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
2001-12-31,HES,USD,0000004447,2002-03-27,2002-03-27 00:00:00,2001,Q4,2685000000,1513000000,1172000000,0.4364990689,0,315000000,0,315000000,895000000,1210000000,2723000000,0,0,303000000,465000000,0.1731843575,-38000000,-0.0141527002,138000000,100000000,0.0372439479,46000000,54000000,0.0201117318,0.2,0.2,262534161,266400000,https://www.sec.gov/Archives/edgar/data/4447/000095012302003005/0000950123-02-003005-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012302003005/y57862e10-k.htm,15369000000,4907000000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
2002-03-31,HES,USD,0000004447,2002-05-14,2002-05-14 11:10:55,2002,Q1,3057000000,2211000000,846000000,0.2767419038,0,223000000,0,223000000,302000000,525000000,2736000000,0,0,302000000,562000000,0.1838403664,321000000,0.1050049068,-30000000,251000000,0.0821066405,110000000,141000000,0.0461236506,0.53,0.53,266666667,266666667,https://www.sec.gov/Archives/edgar/data/4447/000095012302005092/0000950123-02-005092-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012302005092/y60562e10-q.htm,14162000000,4802000000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
2002-06-30,HES,USD,0000004447,2002-08-07,2002-08-07 14:18:54,2002,Q2,2796000000,1843000000,953000000,0.3408440629,0,257000000,0,257000000,368000000,625000000,2468000000,0,70000000,368000000,662000000,0.2367668097,328000000,0.1173104435,-38000000,256000000,0.0915593705,107000000,149000000,0.0532904149,0.56,0.55,264870871,268765766,https://www.sec.gov/Archives/edgar/data/4447/000095012302007507/0000950123-02-007507-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012302007507/y62717e10vq.htm,13862000000,4949000000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
2002-09-30,HES,USD,0000004447,2002-11-12,2002-11-12 10:07:04,2002,Q3,2895000000,2005000000,890000000,0.3074265976,0,216000000,0,216000000,342000000,558000000,2563000000,0,0,342000000,662000000,0.2286701209,332000000,0.1146804836,-379000000,-126000000,-0.0435233161,10000000,-136000000,-0.0469775475,-0.51,-0.51,265249249,265249249,https://www.sec.gov/Archives/edgar/data/4447/000095012302010531/0000950123-02-010531-index.htm,https://www.sec.gov/Archives/edgar/data/4447/000095012302010531/y65441e10vq.htm,13627000000,4683000000,Energy,Oil & Gas Exploration & Production,NYSE,1980-03-17
